id,file,plabel,single-plabel,seq2,civl,archer,seq2+civl,seq2+arch,civl+arch,seq2+arch+civl
1,DRB001-antidep1-orig-yes.c,Y1,Y,1,0,1,0,1,0,0
3,DRB003-antidep2-orig-yes.c,Y1,Y,1,0,1,0,1,0,0
5,DRB005-indirectaccess1-orig-yes.c,Y7,Y,0,0,1,0,0,0,0
6,DRB006-indirectaccess2-orig-yes.c,Y7,Y,0,0,1,0,0,0,0
9,DRB009-lastprivatemissing-orig-yes.c,Y2,Y,1,0,1,0,1,0,0
10,DRB010-lastprivatemissing-var-yes.c,Y2,Y,1,0,1,0,1,0,0
11,DRB011-minusminus-orig-yes.c,Y3,Y,1,0,1,0,1,0,0
13,DRB013-nowait-orig-yes.c,Y3,Y,1,0,1,0,1,0,0
14,DRB014-outofbounds-orig-yes.c,Y6,Y,0,1,1,0,0,1,0
16,DRB016-outputdep-orig-yes.c,Y1,Y,1,1,1,1,1,1,1
17,DRB017-outputdep-var-yes.c,Y1,Y,1,1,1,1,1,1,1
18,DRB018-plusplus-orig-yes.c,Y1,Y,1,0,1,0,1,0,0
19,DRB019-plusplus-var-yes.c,Y1,Y,1,1,1,1,1,1,1
20,DRB020-privatemissing-orig-yes.c,Y2,Y,0,0,1,0,0,0,0
22,DRB022-reductionmissing-orig-yes.c,Y2,Y,1,0,1,0,1,0,0
23,DRB023-reductionmissing-var-yes.c,Y2,Y,1,1,1,1,1,1,1
24,DRB024-sections1-orig-yes.c,Y3,Y,1,1,1,1,1,1,1
28,DRB028-taskdependmissing-orig-yes.c,Y3,Y,0,0,1,0,0,0,0
29,DRB029-truedep1-orig-yes.c,Y1,Y,0,0,1,0,0,0,0
31,DRB031-truedepfirstdimension-orig-yes.c,Y1,Y,0,0,1,0,0,0,0
33,DRB033-truedeplinear-orig-yes.c,Y1,Y,0,0,1,0,0,0,0
35,DRB035-truedepscalar-orig-yes.c,Y1,Y,1,1,1,1,1,1,1
37,DRB037-truedepseconddimension-orig-yes.c,Y1,Y,0,0,1,0,0,0,0
39,DRB039-truedepsingleelement-orig-yes.c,Y1,Y,1,0,1,0,1,0,0
74,DRB074-flush-orig-yes.c,Y2,Y,1,1,1,1,1,1,1
80,DRB080-func-arg-orig-yes.c,Y6,Y,1,1,1,1,1,1,1
84,DRB084-threadprivatemissing-orig-yes.c,Y2,Y,1,0,1,0,1,0,0
88,DRB088-dynamic-storage-orig-yes.c,Y2,Y,1,1,1,1,1,1,1
89,DRB089-dynamic-storage2-orig-yes.c,Y2,Y,1,1,1,1,1,1,1
90,DRB090-static-local-orig-yes.c,Y2,Y,0,0,1,0,0,0,0
92,DRB092-threadprivatemissing2-orig-yes.c,Y2,Y,1,0,1,0,1,0,0
97,DRB097-target-teams-distribute-orig-no.c,N2,N,1,0,0,0,0,0,0
106,DRB106-taskwaitmissing-orig-yes.c,Y3,Y,1,0,1,0,1,0,0
109,DRB109-orderedmissing-orig-yes.c,Y3,Y,1,1,1,1,1,1,1
111,DRB111-linearmissing-orig-yes.c,Y2,Y,1,0,1,0,1,0,0
114,DRB114-if-orig-yes.c,Y1,Y,0,0,1,0,0,0,0
115,DRB115-forsimd-orig-yes.c,"Y1,Y4",Y,1,0,1,0,1,0,0
116,DRB116-target-teams-orig-yes.c,Y3,Y,1,0,1,0,1,0,0
117,DRB117-taskwait-waitonlychild-orig-yes.c,Y3,Y,1,0,0,0,0,0,0
129,DRB129-mergeable-taskwait-orig-yes.c,Y2,Y,1,0,0,0,0,0,0
131,DRB131-taskdep4-orig-omp45-yes.c,Y3,Y,1,0,0,0,0,0,0
134,DRB134-taskdep5-orig-omp45-yes.c,Y1,Y,0,0,1,0,0,0,0
136,DRB136-taskdep-mutexinoutset-orig-yes.c,"Y1,Y6",Y,1,0,1,0,1,0,0
139,DRB139-worksharingcritical-orig-no.c,N1,N,0,1,0,0,0,0,0
140,DRB140-reduction-barrier-orig-yes.c,Y3,Y,1,1,0,1,0,0,0
148,DRB148-critical1-orig-gpu-yes.c,"Y3,Y5",Y,1,0,1,0,1,0,0
151,DRB151-missinglock3-orig-gpu-yes.c,"Y3,Y5",Y,1,0,1,0,1,0,0
153,DRB153-missinglock2-orig-gpu-yes.c,"Y2,Y5",Y,1,0,1,0,1,0,0
157,DRB157-missingorderedsimd-orig-gpu-yes.c,"Y4,Y5",Y,1,0,1,0,1,0,0
164,DRB164-simdmissinglock1-orig-gpu-yes.c,"Y3,Y5",Y,1,0,1,0,1,0,0
165,DRB165-taskdep4-orig-omp50-yes.c,Y3,Y,1,0,1,0,1,0,0
168,DRB168-taskdep5-orig-omp50-yes.c,Y1,Y,0,0,1,0,0,0,0
169,DRB169-missingsyncwrite-orig-yes.c,Y1,Y,1,0,1,0,1,0,0
172,DRB172-critical2-orig-no.c,"N2,N3",N,1,0,0,0,0,0,0
173,DRB173-non-sibling-taskdep-yes.c,Y6,Y,0,0,1,0,0,0,0
175,DRB175-non-sibling-taskdep2-yes.c,Y6,Y,1,0,1,0,1,0,0
176,DRB176-fib-taskdep-no.c,N3,N,0,0,1,0,0,0,0
177,DRB177-fib-taskdep-yes.c,Y6,Y,0,0,1,0,0,0,0
183,DRB183-atomic3-yes.c,Y3,Y,0,1,1,0,0,1,0
195,DRB195-diffusion1-yes.c,Y3,Y,0,0,1,0,0,0,0
197,DRB197-diffusion2-yes.c,Y2,Y,0,0,1,0,0,0,0
,,,,41,15,54,12,35,13,11
